"Family","IsActive","Name","ProductCode","Product_Domain__c","Product_Level__c","RTL_Asset_Class__c","RTL_DATA_SOURCE__c","RTL_Issuer_Fund_House__c","RTL_PRODUCT_CODE__c","RTL_Product_Name_ENG__c","RTL_Product_Name_TH__c","RTL_Product_Short_Name_ENG__c","RTL_Product_Short_Name_TH__c","RTL_TMB_Product_Type__c","RTL_TMB_PROJECT_CD__c","SEQ_GRP__c","Sub_Family__c"
"INVESTMENT","true","กองทุนเปิดทหารไทย Asian Growth Leader Trigger 8 {{20-29 ต.ค.2014}}","G06","","","FIF EQUITY","MF","TMB","G06","TMB Asian Growth Leader Trigger 8 Fund {{TMB}}","กองทุนเปิดทหารไทย Asian Growth Leader Trigger 8 {{20-29 ต.ค.2014}}","","","","","5","NON MM"
"INVESTMENT","true","กองทุนเปิดทหารไทย Asian Growth Leader {{20-29 ต.ค.2014}}","I13","","","FIF EQUITY","MF","TMB","I13","TMB Asian Growth Leader Fund {{TMB}}","กองทุนเปิดทหารไทย Asian Growth Leader {{20-29 ต.ค.2014}}","","","","","5","NON MM"
"INVESTMENT","true","กองทุนเปิดไทย ทริกเกอร์ 3% พลัส 3% (9)","T3P3 (9)","","","EQUITY","MF","UOB","T3P3 (9)","Thai Trigger 3% Plus 3% (9)","กองทุนเปิดไทย ทริกเกอร์ 3% พลัส 3% (9)","","","","","5","NON MM"
"INVESTMENT","true","กองทุนเปิด อเบอร์ดีน หุ้นระยะยาว","ABLTF","","","LTF","MF","ABD","ABLTF","Aberdeen Long Term Equity Fund","กองทุนเปิด อเบอร์ดีน หุ้นระยะยาว","","","","","5","NON MM"
"INVESTMENT","true","กองทุนเปิด อเบอร์ดีนสมาร์ทอินคัมเพื่อการเลี้ยงชีพ","ABSI-RMF","","","RMF","MF","ABD","ABSI-RMF","Aberdeen Smart Income Retirement Mutual Fund","กองทุนเปิด อเบอร์ดีนสมาร์ทอินคัมเพื่อการเลี้ยงชีพ","","","","","5","MM"
"INVESTMENT","true","กองทุนเปิด อเบอร์ดีนสมาร์ทแคปปิตอลเพื่อการเลี้ยงชีพ","ABSC-RMF","","","RMF","MF","ABD","ABSC-RMF","Aberdeen Smart Capital Retirement Mutual Fund","กองทุนเปิด อเบอร์ดีนสมาร์ทแคปปิตอลเพื่อการเลี้ยงชีพ","","","","","5","NON MM"
"INVESTMENT","true","กองทุนเปิด อเบอร์ดีน เอเชีย แปซิฟิค เอคควิตี้ เพื่อการเลี้ยงชีพ","ABAPAC-RMF","","","RMF","MF","ABD","ABAPAC-RMF","Aberdeen Asia Pacific Equity Retirement Mutual Fund","กองทุนเปิด อเบอร์ดีน เอเชีย แปซิฟิค เอคควิตี้ เพื่อการเลี้ยงชีพ","","","","","5","NON MM"
"INVESTMENT","true","กองทุนเปิดทหารไทย โกลบอล เรียล รีเทิร์น","I14","","","MIXED","MF","TMB","I14","TMB Global Real Return Fund","กองทุนเปิดทหารไทย โกลบอล เรียล รีเทิร์น","","","","","5","NON MM"
"INVESTMENT","true","กองทุนเปิดทหารไทย Japan Equity Trigger 8 (2)","G07","","","FIF EQUITY","MF","TMB","G07","TMB Japan Equity Trigger 8 (2) Fund","กองทุนเปิดทหารไทย Japan Equity Trigger 8 (2)","","","","","5","NON MM"
"INVESTMENT","true","กองทุนเปิด เจแปน ทริกเกอร์ ฟันด์ 4% พลัส 4% (2)","JT4P4 (2)","","","FIF EQUITY","MF","UOB","JT4P4 (2)","Japan Trigger Fund 4% Plus 4% (2)","กองทุนเปิด เจแปน ทริกเกอร์ ฟันด์ 4% พลัส 4% (2)","","","","","5","NON MM"
